xx,SITE,OBS_YEAR,REGION,ISLAND,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,SITEVISITID,EXCLUDE_FLAG,METHOD,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_YEAR,ANALYSIS_STRATA,ANALYSIS_SEC,MPA_Name,MPA_Estab_Yr,Protection,TUT2012
18,AGR-0086,2011,MARIAN,Agrihan,4/22/11,Forereef,Deep,18.77151682,145.6367782,3675,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
19,AGR-0087,2011,MARIAN,Agrihan,4/21/11,Forereef,Deep,18.77599301,145.7004052,3661,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
20,AGR-0090,2011,MARIAN,Agrihan,4/21/11,Forereef,Deep,18.79685573,145.6918644,3651,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
21,AGR-0097,2011,MARIAN,Agrihan,4/21/11,Forereef,Deep,18.78374208,145.6993967,3652,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
22,AGR-0113,2011,MARIAN,Agrihan,4/22/11,Forereef,Mid,18.75145021,145.639359,3668,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefMid,Agrihan,NA,NA,NA,NA
23,AGR-0127,2011,MARIAN,Agrihan,4/21/11,Forereef,Mid,18.73794705,145.6883491,3662,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefMid,Agrihan,NA,NA,NA,NA
24,AGR-0131,2011,MARIAN,Agrihan,4/22/11,Forereef,Mid,18.75679149,145.6394757,3669,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefMid,Agrihan,NA,NA,NA,NA
25,AGR-0134,2011,MARIAN,Agrihan,4/22/11,Forereef,Shallow,18.76168619,145.6392775,3676,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
26,AGR-0136,2011,MARIAN,Agrihan,4/21/11,Forereef,Shallow,18.73323835,145.6743713,3663,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
27,AGR-0137,2011,MARIAN,Agrihan,4/22/11,Forereef,Shallow,18.79965328,145.6458863,3677,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
28,AGR-0138,2011,MARIAN,Agrihan,4/22/11,Forereef,Shallow,18.80204455,145.6479052,3679,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
29,AGR-0141,2011,MARIAN,Agrihan,4/21/11,Forereef,Shallow,18.7585843,145.6945692,3654,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
30,AGR-0148,2011,MARIAN,Agrihan,4/22/11,Forereef,Shallow,18.77465769,145.6370634,3670,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
31,AGR-0149,2011,MARIAN,Agrihan,4/21/11,Forereef,Shallow,18.74351833,145.6919239,3655,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
32,AGR-0164,2011,MARIAN,Agrihan,4/22/11,Forereef,Shallow,18.77764391,145.6355473,3680,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefShallow,Agrihan,NA,NA,NA,NA
33,AGR-0180,2011,MARIAN,Agrihan,4/21/11,Forereef,Mid,18.72453047,145.6664061,3656,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefMid,Agrihan,NA,NA,NA,NA
34,AGR-0181,2011,MARIAN,Agrihan,4/22/11,Forereef,Deep,18.79311883,145.641223,3678,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
35,AGU-0002,2009,MARIAN,Aguijan,4/11/09,Forereef,Mid,14.84773,145.53667,1849,0,nSPC,Aguijan,25965,213241,HAPHAZARD,2009,ForereefMid,Aguijan,NA,NA,NA,NA
36,AGU-0003,2009,MARIAN,Aguijan,4/11/09,Forereef,Mid,14.85975,145.55557,1850,0,nSPC,Aguijan,30619,212039,HAPHAZARD,2009,ForereefMid,Aguijan,NA,NA,NA,NA
37,AGU-0050,2009,MARIAN,Aguijan,4/11/09,Forereef,Deep,14.86414262,145.5661973,1851,0,nSPC,Aguijan,32788,211530,RANDOM,2009,ForereefDeep,Aguijan,NA,NA,NA,NA
38,AGU-0051,2009,MARIAN,Aguijan,4/11/09,Forereef,Shallow,14.85675867,145.5492441,1852,0,nSPC,Aguijan,29756,212633,RANDOM,2009,ForereefShallow,Aguijan,NA,NA,NA,NA
39,AGU-0052,2009,MARIAN,Aguijan,4/11/09,Forereef,Shallow,14.8461507,145.5373196,1853,0,nSPC,Aguijan,25344,213241,RANDOM,2009,ForereefShallow,Aguijan,NA,NA,NA,NA
40,AGU-0053,2009,MARIAN,Aguijan,4/11/09,Forereef,Deep,14.83678233,145.5280591,1854,0,nSPC,Aguijan,20355,213241,RANDOM,2009,ForereefDeep,Aguijan,NA,NA,NA,NA
41,AGU-0064,2011,MARIAN,Aguijan,5/4/11,Forereef,Mid,14.83408235,145.5306025,3785,0,nSPC,Aguijan,19578,213241,RANDOM,2011,ForereefMid,Aguijan,NA,NA,NA,NA
42,AGU-0066,2011,MARIAN,Aguijan,5/4/11,Forereef,Mid,14.86709422,145.576241,3782,0,nSPC,Aguijan,35530,211051,RANDOM,2011,ForereefMid,Aguijan,NA,NA,NA,NA
43,AGU-0075,2011,MARIAN,Aguijan,5/4/11,Forereef,Deep,14.8422299,145.558905,3780,0,nSPC,Aguijan,28153,213241,RANDOM,2011,ForereefDeep,Aguijan,NA,NA,NA,NA
44,AGU-0078,2011,MARIAN,Aguijan,5/4/11,Forereef,Deep,14.86491719,145.5800492,3775,0,nSPC,Aguijan,35467,211056,RANDOM,2011,ForereefDeep,Aguijan,NA,NA,NA,NA
45,AGU-0079,2011,MARIAN,Aguijan,5/4/11,Forereef,Mid,14.84715686,145.5690495,3774,0,nSPC,Aguijan,29764,212527,RANDOM,2011,ForereefMid,Aguijan,NA,NA,NA,NA
46,AGU-0086,2011,MARIAN,Aguijan,5/4/11,Forereef,Mid,14.84943263,145.536134,3777,0,nSPC,Aguijan,26603,213241,RANDOM,2011,ForereefMid,Aguijan,NA,NA,NA,NA
47,AGU-0095,2011,MARIAN,Aguijan,5/4/11,Forereef,Deep,14.8367286,145.5428066,3779,0,nSPC,Aguijan,23385,213241,RANDOM,2011,ForereefDeep,Aguijan,NA,NA,NA,NA
48,AGU-0096,2011,MARIAN,Aguijan,5/4/11,Forereef,Deep,14.85210218,145.5754342,3781,0,nSPC,Aguijan,30927,211854,RANDOM,2011,ForereefDeep,Aguijan,NA,NA,NA,NA
49,AGU-0100,2011,MARIAN,Aguijan,5/4/11,Forereef,Deep,14.83986234,145.5486053,3773,0,nSPC,Aguijan,25251,213241,RANDOM,2011,ForereefDeep,Aguijan,NA,NA,NA,NA
50,AGU-0103,2011,MARIAN,Aguijan,5/4/11,Forereef,Shallow,14.84304294,145.5381751,3778,0,nSPC,Aguijan,24406,213241,RANDOM,2011,ForereefShallow,Aguijan,NA,NA,NA,NA
51,AGU-0105,2011,MARIAN,Aguijan,5/4/11,Forereef,Shallow,14.84585054,145.5371264,3784,0,nSPC,Aguijan,25126,213241,RANDOM,2011,ForereefShallow,Aguijan,NA,NA,NA,NA
52,AGU-0114,2011,MARIAN,Aguijan,5/4/11,Forereef,Shallow,14.8569564,145.5502817,3783,0,nSPC,Aguijan,29839,212539,RANDOM,2011,ForereefShallow,Aguijan,NA,NA,NA,NA
53,AGU-0118,2011,MARIAN,Aguijan,5/4/11,Forereef,Shallow,14.86078198,145.5586668,3776,0,nSPC,Aguijan,31108,211867,RANDOM,2011,ForereefShallow,Aguijan,NA,NA,NA,NA
54,AGU-0120,2014,MARIAN,Aguijan,4/8/14,Forereef,Mid,14.86551809,145.5786213,6746,0,nSPC,Aguijan,3136,211062,RANDOM,2014,ForereefMid,Aguijan,NA,NA,NA,NA
55,AGU-0127,2014,MARIAN,Aguijan,4/8/14,Forereef,Deep,14.84365985,145.5659106,6747,0,nSPC,Aguijan,3127,213079,RANDOM,2014,ForereefDeep,Aguijan,NA,NA,NA,NA
56,AGU-0130,2014,MARIAN,Aguijan,4/8/14,Forereef,Mid,14.84862101,145.5375061,6740,0,nSPC,Aguijan,3102,213241,RANDOM,2014,ForereefMid,Aguijan,NA,NA,NA,NA
57,AGU-0133,2014,MARIAN,Aguijan,4/8/14,Forereef,Deep,14.86694561,145.5729019,6739,0,nSPC,Aguijan,3135,211146,RANDOM,2014,ForereefDeep,Aguijan,NA,NA,NA,NA
58,AGU-0134,2014,MARIAN,Aguijan,4/8/14,Forereef,Shallow,14.84750211,145.5372731,6749,0,nSPC,Aguijan,3090,213241,RANDOM,2014,ForereefShallow,Aguijan,NA,NA,NA,NA
59,AGU-0138,2014,MARIAN,Aguijan,4/8/14,Forereef,Deep,14.82924976,145.5302073,6752,0,nSPC,Aguijan,2330,213241,RANDOM,2014,ForereefDeep,Aguijan,NA,NA,NA,NA
60,AGU-0142,2014,MARIAN,Aguijan,4/8/14,Forereef,Mid,14.84227859,145.5542424,6748,0,nSPC,Aguijan,3125,213241,RANDOM,2014,ForereefMid,Aguijan,NA,NA,NA,NA
61,AGU-0144,2014,MARIAN,Aguijan,4/8/14,Forereef,Shallow,14.86163911,145.5615422,6738,0,nSPC,Aguijan,3130,211743,RANDOM,2014,ForereefShallow,Aguijan,NA,NA,NA,NA
62,AGU-0200,2014,MARIAN,Aguijan,4/8/14,Forereef,Deep,14.85690535,145.5473116,6737,0,nSPC,Aguijan,3127,212748,RANDOM,2014,ForereefDeep,Aguijan,NA,NA,NA,NA
63,AGU-0202,2014,MARIAN,Aguijan,4/8/14,Forereef,Mid,14.85945345,145.5553907,6745,0,nSPC,Aguijan,3129,212067,RANDOM,2014,ForereefMid,Aguijan,NA,NA,NA,NA
64,ALA-0002,2009,MARIAN,AGS,5/4/09,Forereef,Mid,17.60753,145.8153,1977,0,nSPC,Alamagan,0,0,HAPHAZARD,2009,ForereefMid,Alamagan,NA,NA,NA,NA
65,ALA-0003,2009,MARIAN,AGS,5/4/09,Forereef,Mid,17.58693,145.81808,1978,0,nSPC,Alamagan,0,0,HAPHAZARD,2009,ForereefMid,Alamagan,NA,NA,NA,NA
66,ALA-0050,2009,MARIAN,AGS,5/4/09,Forereef,Deep,17.60233001,145.8529194,1979,0,nSPC,Alamagan,0,0,RANDOM,2009,ForereefDeep,Alamagan,NA,NA,NA,NA
67,ALA-0051,2009,MARIAN,AGS,5/4/09,Forereef,Shallow,17.61285215,145.8202597,1980,0,nSPC,Alamagan,0,0,RANDOM,2009,ForereefShallow,Alamagan,NA,NA,NA,NA
68,ALA-0052,2009,MARIAN,AGS,5/4/09,Forereef,Shallow,17.59794812,145.8143158,1981,0,nSPC,Alamagan,0,0,RANDOM,2009,ForereefShallow,Alamagan,NA,NA,NA,NA
69,ALA-0053,2009,MARIAN,AGS,5/4/09,Forereef,Deep,17.57853664,145.8358191,1982,0,nSPC,Alamagan,0,0,RANDOM,2009,ForereefDeep,Alamagan,NA,NA,NA,NA
70,ALA-0068,2011,MARIAN,AGS,4/23/11,Forereef,Deep,17.62106423,145.8299634,3681,0,nSPC,Alamagan,0,0,RANDOM,2011,ForereefDeep,Alamagan,NA,NA,NA,NA
71,ALA-0069,2011,MARIAN,AGS,4/23/11,Forereef,Deep,17.61018327,145.8160994,3683,0,nSPC,Alamagan,0,0,RANDOM,2011,ForereefDeep,Alamagan,NA,NA,NA,NA
72,ALA-0070,2011,MARIAN,AGS,4/23/11,Forereef,Deep,17.57860964,145.8254032,3684,0,nSPC,Alamagan,0,0,RANDOM,2011,ForereefDeep,Alamagan,NA,NA,NA,NA
73,ALA-0083,2011,MARIAN,AGS,4/23/11,Forereef,Mid,17.61747468,145.8216046,3682,0,nSPC,Alamagan,0,0,RANDOM,2011,ForereefMid,Alamagan,NA,NA,NA,NA
74,ALA-0091,2011,MARIAN,AGS,4/23/11,Forereef,Mid,17.57902237,145.8375706,3685,0,nSPC,Alamagan,0,0,RANDOM,2011,ForereefMid,Alamagan,NA,NA,NA,NA
75,ALA-0096,2014,MARIAN,AGS,5/2/14,Forereef,Deep,17.59192429,145.8137212,7086,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefDeep,Alamagan,NA,NA,NA,NA
76,ALA-0101,2014,MARIAN,AGS,5/2/14,Forereef,Deep,17.57945596,145.8230366,7080,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefDeep,Alamagan,NA,NA,NA,NA
77,ALA-0104,2014,MARIAN,AGS,5/2/14,Forereef,Mid,17.6211183,145.83638,7082,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefMid,Alamagan,NA,NA,NA,NA
78,ALA-0111,2014,MARIAN,AGS,5/2/14,Forereef,Mid,17.57908179,145.835197,7089,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefMid,Alamagan,NA,NA,NA,NA
79,ALA-0112,2014,MARIAN,AGS,5/2/14,Forereef,Mid,17.61450581,145.8197676,7087,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefMid,Alamagan,NA,NA,NA,NA
80,ALA-0116,2014,MARIAN,AGS,5/2/14,Forereef,Mid,17.58363945,145.8216993,7085,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefMid,Alamagan,NA,NA,NA,NA
81,ALA-0129,2014,MARIAN,AGS,5/2/14,Forereef,Shallow,17.60209993,145.8140697,7081,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefShallow,Alamagan,NA,NA,NA,NA
82,ALA-0130,2014,MARIAN,AGS,5/2/14,Forereef,Shallow,17.58607104,145.8217236,7090,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefShallow,Alamagan,NA,NA,NA,NA
83,ALA-0139,2014,MARIAN,AGS,5/2/14,Forereef,Mid,17.60798654,145.8497412,7088,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefMid,Alamagan,NA,NA,NA,NA
84,ALA-0140,2014,MARIAN,AGS,5/2/14,Forereef,Deep,17.60516217,145.8516427,7091,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefDeep,Alamagan,NA,NA,NA,NA
85,ALA-0142,2014,MARIAN,AGS,5/2/14,Forereef,Shallow,17.58471075,145.8435389,7083,0,nSPC,Alamagan,0,0,RANDOM,2014,ForereefShallow,Alamagan,NA,NA,NA,NA
86,ASC-0001,2009,MARIAN,Asuncion,4/25/09,Forereef,Mid,19.69977,145.4174,1922,0,nSPC,Asuncion,0,0,HAPHAZARD,2009,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
87,ASC-0002,2009,MARIAN,Asuncion,4/25/09,Forereef,Mid,19.68072,145.39225,1923,0,nSPC,Asuncion,0,0,HAPHAZARD,2009,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
88,ASC-0003,2009,MARIAN,Asuncion,4/25/09,Forereef,Mid,19.7017,145.39365,1924,0,nSPC,Asuncion,0,0,HAPHAZARD,2009,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
89,ASC-0004,2009,MARIAN,Asuncion,4/26/09,Forereef,Mid,19.70842,145.40305,1929,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
90,ASC-0005,2009,MARIAN,Asuncion,4/26/09,Forereef,Mid,19.67803,145.41177,1930,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
91,ASC-0006,2009,MARIAN,Asuncion,4/26/09,Forereef,Mid,19.6902532,145.388625,1931,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
92,ASC-0050,2009,MARIAN,Asuncion,4/25/09,Forereef,Deep,19.69127496,145.420366,1925,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
93,ASC-0051,2009,MARIAN,Asuncion,4/25/09,Forereef,Shallow,19.70340676,145.4135777,1926,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
94,ASC-0052,2009,MARIAN,Asuncion,4/25/09,Forereef,Shallow,19.70751951,145.4057609,1927,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
95,ASC-0053,2009,MARIAN,Asuncion,4/25/09,Forereef,Deep,19.69432446,145.389205,1928,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
96,ASC-0054,2009,MARIAN,Asuncion,4/26/09,Forereef,Deep,19.68093538,145.415849,1932,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
97,ASC-0055,2009,MARIAN,Asuncion,4/26/09,Forereef,Shallow,19.67663965,145.3991635,1933,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
98,ASC-0056,2009,MARIAN,Asuncion,4/26/09,Forereef,Shallow,19.68475,145.388583,1934,0,nSPC,Asuncion,0,0,RANDOM,2009,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
99,ASC-0068,2011,MARIAN,Asuncion,4/15/11,Forereef,Deep,19.69357244,145.4192828,3582,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
100,ASC-0069,2011,MARIAN,Asuncion,4/15/11,Forereef,Deep,19.70216037,145.4167177,3591,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
101,ASC-0071,2011,MARIAN,Asuncion,4/15/11,Forereef,Deep,19.70538765,145.4137343,3590,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
102,ASC-0072,2011,MARIAN,Asuncion,4/14/11,Forereef,Deep,19.70734122,145.3987523,3573,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
103,ASC-0073,2011,MARIAN,Asuncion,4/14/11,Forereef,Deep,19.68882308,145.3885663,3570,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
104,ASC-0079,2011,MARIAN,Asuncion,4/14/11,Forereef,Deep,19.69818332,145.3908552,3569,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
105,ASC-0084,2011,MARIAN,Asuncion,4/14/11,Forereef,Deep,19.70656497,145.3959077,3575,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
106,ASC-0087,2011,MARIAN,Asuncion,4/15/11,Forereef,Mid,19.70773249,145.406134,3588,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
107,ASC-0089,2011,MARIAN,Asuncion,4/15/11,Forereef,Mid,19.70668509,145.4096145,3589,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
108,ASC-0090,2011,MARIAN,Asuncion,4/15/11,Forereef,Mid,19.68528592,145.4178212,3593,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
109,ASC-0091,2011,MARIAN,Asuncion,4/15/11,Forereef,Mid,19.69826689,145.4176655,3592,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
110,ASC-0093,2011,MARIAN,Asuncion,4/14/11,Forereef,Mid,19.70016221,145.3923614,3574,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
111,ASC-0098,2011,MARIAN,Asuncion,4/14/11,Forereef,Mid,19.68072181,145.3892748,3571,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
112,ASC-0110,2011,MARIAN,Asuncion,4/15/11,Forereef,Mid,19.6758593,145.4091422,3583,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
113,ASC-0112,2011,MARIAN,Asuncion,4/14/11,Forereef,Mid,19.68437766,145.388358,3579,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefMid,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
114,ASC-0114,2011,MARIAN,Asuncion,4/14/11,Forereef,Shallow,19.67794379,145.3969418,3572,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
115,ASC-0116,2011,MARIAN,Asuncion,4/14/11,Forereef,Shallow,19.69476962,145.3901659,3576,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
116,ASC-0121,2011,MARIAN,Asuncion,4/14/11,Forereef,Shallow,19.68504435,145.3897493,3578,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
117,ASC-0127,2011,MARIAN,Asuncion,4/15/11,Forereef,Shallow,19.67622709,145.4003691,3584,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
118,ASC-0129,2011,MARIAN,Asuncion,4/14/11,Forereef,Shallow,19.6915244,145.3890072,3577,0,nSPC,Asuncion,0,0,RANDOM,2011,ForereefShallow,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
119,ASC-0139,2014,MARIAN,Asuncion,4/25/14,Forereef,Deep,19.67435257,145.403504,7021,0,nSPC,Asuncion,0,0,RANDOM,2014,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
120,ASC-0145,2014,MARIAN,Asuncion,4/24/14,Forereef,Deep,19.67536376,145.4071509,6997,0,nSPC,Asuncion,0,0,RANDOM,2014,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
121,ASC-0150,2014,MARIAN,Asuncion,4/25/14,Forereef,Deep,19.6750662,145.3987003,7014,0,nSPC,Asuncion,0,0,RANDOM,2014,ForereefDeep,Asuncion,Pacific Remote Islands Marine National Monument,2009,Negligible Restriction,NA
